State,Date,New Deaths,7-Day Moving Avg,Historic Deaths
United States,Jan 10 2021,2563,3300,0
United States,Jan  9 2021,3337,3226,0
United States,Jan  8 2021,3772,3087,0
United States,Jan  7 2021,3981,2980,0
United States,Jan  6 2021,3864,2951,0
United States,Jan  5 2021,3491,2938,0
United States,Jan  4 2021,2092,2919,0
United States,Jan  3 2021,2046,2940,0
United States,Jan  2 2021,2369,2919,0
United States,Jan  1 2021,3023,2816,0
United States,Dec 31 2020,3774,2702,0
United States,Dec 30 2020,3772,2596,0
United States,Dec 29 2020,3360,2515,0
United States,Dec 28 2020,2240,2451,0
United States,Dec 27 2020,1899,2443,0
United States,Dec 26 2020,1649,2471,0
United States,Dec 25 2020,2221,2619,0
United States,Dec 24 2020,3032,2727,0
United States,Dec 23 2020,3209,2772,0
United States,Dec 22 2020,2909,2798,0
United States,Dec 21 2020,2188,2778,0
United States,Dec 20 2020,2091,2753,0
United States,Dec 19 2020,2685,2747,0
United States,Dec 18 2020,2976,2706,0
United States,Dec 17 2020,3347,2738,0
United States,Dec 16 2020,3395,2645,0
United States,Dec 15 2020,2765,2641,0
United States,Dec 14 2020,2016,2611,0
United States,Dec 13 2020,2046,2611,0
United States,Dec 12 2020,2400,2548,0
United States,Dec 11 2020,3203,2539,0
United States,Dec 10 2020,2693,2458,0
United States,Dec  9 2020,3370,2462,0
United States,Dec  8 2020,2549,2378,0
United States,Dec  7 2020,2017,2355,0
United States,Dec  6 2020,1608,2295,0
United States,Dec  5 2020,2339,2250,0
United States,Dec  4 2020,2630,2130,0
United States,Dec  3 2020,2723,1993,0
United States,Dec  2 2020,2784,1842,0
United States,Dec  1 2020,2384,1774,0
United States,Nov 30 2020,1600,1703,0
United States,Nov 29 2020,1291,1683,0
United States,Nov 28 2020,1501,1687,0
United States,Nov 27 2020,1670,1715,0
United States,Nov 26 2020,1670,1761,0
United States,Nov 25 2020,2304,1796,0
United States,Nov 24 2020,1886,1732,0
United States,Nov 23 2020,1463,1690,0
United States,Nov 22 2020,1321,1633,0
United States,Nov 21 2020,1694,1593,0
United States,Nov 20 2020,1993,1559,0
United States,Nov 19 2020,1914,1456,0
United States,Nov 18 2020,1858,1378,0
United States,Nov 17 2020,1590,1329,0
United States,Nov 16 2020,1065,1277,0
United States,Nov 15 2020,1037,1261,0
United States,Nov 14 2020,1457,1241,0
United States,Nov 13 2020,1275,1186,0
United States,Nov 12 2020,1367,1190,0
United States,Nov 11 2020,1518,1168,0
United States,Nov 10 2020,1226,1138,466
United States,Nov  9 2020,952,1111,0
United States,Nov  8 2020,894,1082,0
United States,Nov  7 2020,1074,1056,0
United States,Nov  6 2020,1299,1036,0
United States,Nov  5 2020,1217,984,0
United States,Nov  4 2020,1308,968,0
United States,Nov  3 2020,1035,934,0
United States,Nov  2 2020,751,914,0
United States,Nov  1 2020,714,907,0
United States,Oct 31 2020,932,892,0
United States,Oct 30 2020,933,872,0
United States,Oct 29 2020,1103,874,0
United States,Oct 28 2020,1072,850,0
United States,Oct 27 2020,894,846,0
United States,Oct 26 2020,701,833,0
United States,Oct 25 2020,611,821,0
United States,Oct 24 2020,795,841,0
United States,Oct 23 2020,947,826,0
United States,Oct 22 2020,933,816,0
United States,Oct 21 2020,1044,785,0
United States,Oct 20 2020,801,754,0
United States,Oct 19 2020,621,733,0
United States,Oct 18 2020,746,717,0
United States,Oct 17 2020,690,693,0
United States,Oct 16 2020,879,691,0
United States,Oct 15 2020,715,678,0
United States,Oct 14 2020,829,681,0
United States,Oct 13 2020,655,678,0
United States,Oct 12 2020,508,676,0
United States,Oct 11 2020,579,679,0
United States,Oct 10 2020,676,682,0
United States,Oct  9 2020,790,664,0
United States,Oct  8 2020,733,681,0
United States,Oct  7 2020,805,684,0
United States,Oct  6 2020,641,667,0
United States,Oct  5 2020,529,690,0
United States,Oct  4 2020,606,675,0
United States,Oct  3 2020,544,660,0
United States,Oct  2 2020,912,679,0
United States,Oct  1 2020,752,658,0
United States,Sep 30 2020,689,658,0
United States,Sep 29 2020,804,689,0
United States,Sep 28 2020,422,668,0
United States,Sep 27 2020,502,691,0
United States,Sep 26 2020,672,686,0
United States,Sep 25 2020,769,684,0
United States,Sep 24 2020,748,692,0
United States,Sep 23 2020,907,690,0
United States,Sep 22 2020,659,718,0
United States,Sep 21 2020,580,735,0
United States,Sep 20 2020,471,717,0
United States,Sep 19 2020,658,756,0
United States,Sep 18 2020,824,755,0
United States,Sep 17 2020,732,763,0
United States,Sep 16 2020,1106,779,0
United States,Sep 15 2020,776,741,0
United States,Sep 14 2020,454,713,0
United States,Sep 13 2020,746,708,0
United States,Sep 12 2020,651,701,0
United States,Sep 11 2020,880,720,0
United States,Sep 10 2020,846,727,0
United States,Sep  9 2020,840,742,0
United States,Sep  8 2020,576,747,0
United States,Sep  7 2020,420,787,0
United States,Sep  6 2020,694,811,0
United States,Sep  5 2020,789,816,0
United States,Sep  4 2020,929,820,0
United States,Sep  3 2020,952,836,0
United States,Sep  2 2020,874,837,0
United States,Sep  1 2020,857,864,0
United States,Aug 31 2020,585,869,0
United States,Aug 30 2020,727,873,0
United States,Aug 29 2020,820,890,0
United States,Aug 28 2020,1037,915,0
United States,Aug 27 2020,961,913,0
United States,Aug 26 2020,1065,918,0
United States,Aug 25 2020,890,949,0
United States,Aug 24 2020,613,956,0
United States,Aug 23 2020,845,962,0
United States,Aug 22 2020,998,969,0
United States,Aug 21 2020,1024,961,0
United States,Aug 20 2020,996,967,0
United States,Aug 19 2020,1280,996,0
United States,Aug 18 2020,942,1005,0
United States,Aug 17 2020,655,1027,0
United States,Aug 16 2020,891,1051,0
United States,Aug 15 2020,942,1052,0
United States,Aug 14 2020,1065,1066,0
United States,Aug 13 2020,1202,1102,0
United States,Aug 12 2020,1341,1103,0
United States,Aug 11 2020,1097,1092,0
United States,Aug 10 2020,823,1091,0
United States,Aug  9 2020,896,1100,0
United States,Aug  8 2020,1043,1103,0
United States,Aug  7 2020,1318,1115,0
United States,Aug  6 2020,1204,1125,0
United States,Aug  5 2020,1266,1156,0
United States,Aug  4 2020,1089,1142,0
United States,Aug  3 2020,890,1156,0
United States,Aug  2 2020,917,1165,0
United States,Aug  1 2020,1125,1170,0
United States,Jul 31 2020,1389,1172,0
United States,Jul 30 2020,1421,1165,0
United States,Jul 29 2020,1168,1142,0
United States,Jul 28 2020,1184,1146,0
United States,Jul 27 2020,953,1146,0
United States,Jul 26 2020,951,1136,0
United States,Jul 25 2020,1142,1133,0
United States,Jul 24 2020,1338,1112,0
United States,Jul 23 2020,1262,1077,0
United States,Jul 22 2020,1195,1051,0
United States,Jul 21 2020,1185,1041,0
United States,Jul 20 2020,880,1004,0
United States,Jul 19 2020,932,984,0
United States,Jul 18 2020,995,970,0
United States,Jul 17 2020,1092,954,0
United States,Jul 16 2020,1082,934,0
United States,Jul 15 2020,1127,916,0
United States,Jul 14 2020,924,910,0
United States,Jul 13 2020,736,910,0
United States,Jul 12 2020,835,895,0
United States,Jul 11 2020,887,840,0
United States,Jul 10 2020,952,791,0
United States,Jul  9 2020,952,771,0
United States,Jul  8 2020,1090,736,0
United States,Jul  7 2020,923,692,0
United States,Jul  6 2020,627,651,0
United States,Jul  5 2020,455,630,0
United States,Jul  4 2020,543,627,0
United States,Jul  3 2020,812,632,0
United States,Jul  2 2020,704,617,0
United States,Jul  1 2020,782,619,0
United States,Jun 30 2020,640,606,0
United States,Jun 29 2020,474,620,0
United States,Jun 28 2020,438,623,0
United States,Jun 27 2020,576,620,0
United States,Jun 26 2020,706,620,0
United States,Jun 25 2020,720,625,1824
United States,Jun 24 2020,691,616,0
United States,Jun 23 2020,737,614,0
United States,Jun 22 2020,496,604,0
United States,Jun 21 2020,418,610,0
United States,Jun 20 2020,572,620,0
United States,Jun 19 2020,744,636,0
United States,Jun 18 2020,655,634,0
United States,Jun 17 2020,678,668,0
United States,Jun 16 2020,669,696,0
United States,Jun 15 2020,537,718,0
United States,Jun 14 2020,488,756,0
United States,Jun 13 2020,684,770,0
United States,Jun 12 2020,731,769,0
United States,Jun 11 2020,894,788,0
United States,Jun 10 2020,869,785,0
United States,Jun  9 2020,827,808,0
United States,Jun  8 2020,799,824,0
United States,Jun  7 2020,586,809,0
United States,Jun  6 2020,678,823,0
United States,Jun  5 2020,865,855,0
United States,Jun  4 2020,876,880,0
United States,Jun  3 2020,1028,929,0
United States,Jun  2 2020,939,966,0
United States,Jun  1 2020,694,950,0
United States,May 31 2020,685,948,0
United States,May 30 2020,900,966,0
United States,May 29 2020,1039,969,0
United States,May 28 2020,1218,1077,0
United States,May 27 2020,1288,1059,0
United States,May 26 2020,831,1070,0
United States,May 25 2020,681,1120,0
United States,May 24 2020,809,1161,0
United States,May 23 2020,923,1178,0
United States,May 22 2020,1794,1221,0
United States,May 21 2020,1091,1185,0
United States,May 20 2020,1363,1305,0
United States,May 19 2020,1184,1325,0
